発生日,気圧配置,ラベル,確信度,p_winter_pressure_pattern,p_nankigan_low,p_japan_sea_low,p_futatsudama_low,p_typhoon,p_migratory_high,p_pacific_high,p_front_passage,p_stationary_front,p_okhotsk_high
2004-04-27,前線通過（寒冷前線・温暖前線）,front_passage,0.9522,0.1099,0.6475,0.3824,0.5012,0.0187,0.0548,0.0131,0.9522,0.1018,0.009
2004-05-30,前線通過（寒冷前線・温暖前線）,front_passage,0.768,0.0405,0.0874,0.1224,0.022,0.0514,0.4256,0.0792,0.768,0.6881,0.0043
2004-06-21,台風,typhoon,0.9939,0.0361,0.2969,0.3231,0.3637,0.9939,0.0853,0.1969,0.2289,0.9106,0.1358
2005-01-08,西高東低（冬型）,winter_pressure_pattern,0.9947,0.9947,0.0623,0.159,0.0373,0.0044,0.1807,0.0073,0.0697,0.0168,0.0032
2005-01-17,南岸低気圧,nankigan_low,0.8536,0.3199,0.8536,0.0142,0.048,0.0509,0.2985,0.0094,0.0423,0.0295,0.1744
2005-01-20,日本海低気圧,japan_sea_low,0.932,0.5707,0.0868,0.932,0.8412,0.0024,0.0246,0.0018,0.2927,0.0184,0.0015
2005-03-04,南岸低気圧,nankigan_low,0.9782,0.0406,0.9782,0.118,0.5281,0.0043,0.2436,0.0047,0.3333,0.1025,0.0516
2005-03-18,西高東低（冬型）,winter_pressure_pattern,0.9459,0.9459,0.2014,0.1129,0.2878,0.006,0.0669,0.007,0.4924,0.0467,0.0043
2005-04-10,日本海低気圧,japan_sea_low,0.8898,0.0059,0.2292,0.8898,0.1583,0.005,0.326,0.1275,0.8636,0.0507,0.0459
2005-04-25,移動性高気圧,migratory_high,0.8577,0.0047,0.2573,0.1612,0.1962,0.0134,0.8577,0.1346,0.0884,0.7197,0.0689
2005-05-01,前線通過（寒冷前線・温暖前線）,front_passage,0.8041,0.1929,0.4241,0.459,0.0655,0.0289,0.1375,0.16,0.8041,0.1495,0.0434
2005-11-27,日本海低気圧,japan_sea_low,0.9616,0.0211,0.1209,0.9616,0.3878,0.0014,0.2705,0.0011,0.6685,0.0436,0.0112
2005-11-29,前線通過（寒冷前線・温暖前線）,front_passage,0.9844,0.0417,0.2498,0.6515,0.5262,0.0057,0.0312,0.0096,0.9844,0.0167,0.0554
2005-12-02,前線通過（寒冷前線・温暖前線）,front_passage,0.8358,0.4123,0.3263,0.6103,0.0899,0.0064,0.1374,0.0129,0.8358,0.1139,0.0048
2005-12-05,西高東低（冬型）,winter_pressure_pattern,0.9424,0.9424,0.2244,0.5327,0.7087,0.0167,0.0259,0.0024,0.1093,0.0283,0.0016
2005-12-09,日本海低気圧,japan_sea_low,0.7431,0.3114,0.0825,0.7431,0.5006,0.0026,0.2862,0.009,0.16,0.0366,0.0102
2005-12-23,西高東低（冬型）,winter_pressure_pattern,0.9961,0.9961,0.0615,0.2702,0.1518,0.0089,0.0532,0.0128,0.083,0.0567,0.0029
2006-03-18,南岸低気圧,nankigan_low,0.7616,0.0031,0.7616,0.2719,0.1133,0.0027,0.6399,0.0427,0.7013,0.0308,0.0192
2006-04-11,前線通過（寒冷前線・温暖前線）,front_passage,0.8386,0.1114,0.8377,0.0971,0.1551,0.0053,0.5504,0.0294,0.8386,0.1458,0.2027
2006-04-29,南岸低気圧,nankigan_low,0.8179,0.0289,0.8179,0.0914,0.1458,0.0038,0.6755,0.3241,0.0604,0.1778,0.0354
2006-05-10,日本海低気圧,japan_sea_low,0.5203,0.0308,0.2015,0.5203,0.0599,0.0194,0.4552,0.3179,0.4487,0.4405,0.022
2006-06-08,南岸低気圧,nankigan_low,0.7403,0.1294,0.7403,0.1189,0.0755,0.0258,0.641,0.1623,0.4955,0.0754,0.233
2006-09-18,台風,typhoon,0.9386,0.0074,0.291,0.3881,0.1959,0.9386,0.1372,0.1217,0.1995,0.5099,0.3021
2006-10-11,前線通過（寒冷前線・温暖前線）,front_passage,0.8931,0.0243,0.0353,0.4497,0.0109,0.1806,0.2471,0.4464,0.8931,0.1177,0.0044
2006-12-02,日本海低気圧,japan_sea_low,0.9708,0.3685,0.0389,0.9708,0.4235,0.0067,0.0299,0.0068,0.8364,0.0464,0.0039
2007-01-10,西高東低（冬型）,winter_pressure_pattern,0.992,0.992,0.0257,0.1169,0.1248,0.0091,0.1347,0.0064,0.1208,0.0733,0.0013
2007-01-13,西高東低（冬型）,winter_pressure_pattern,0.9454,0.9454,0.0906,0.2657,0.114,0.0075,0.1108,0.0285,0.157,0.0359,0.0007
2007-02-10,日本海低気圧,japan_sea_low,0.5778,0.356,0.3474,0.5778,0.5722,0.0106,0.3804,0.0091,0.129,0.1988,0.1089
2007-04-13,日本海低気圧,japan_sea_low,0.8277,0.0077,0.141,0.8277,0.1852,0.0046,0.6485,0.0489,0.791,0.0515,0.194
2007-05-01,前線通過（寒冷前線・温暖前線）,front_passage,0.8698,0.0062,0.5135,0.5089,0.2225,0.0093,0.4365,0.1119,0.8698,0.1232,0.268
2007-08-02,台風,typhoon,0.9981,0.0052,0.0839,0.122,0.028,0.9981,0.108,0.5293,0.1627,0.9047,0.039
2007-08-08,停滞前線,stationary_front,0.8796,0.0033,0.0146,0.079,0.0033,0.5659,0.4362,0.7995,0.104,0.8796,0.2766
2007-10-19,停滞前線,stationary_front,0.5698,0.0267,0.178,0.5417,0.2629,0.2285,0.186,0.1053,0.5698,0.5698,0.3979
2008-04-26,移動性高気圧,migratory_high,0.8858,0.0381,0.2096,0.2593,0.0679,0.0168,0.8858,0.2533,0.0913,0.0807,0.0404
2008-07-27,台風,typhoon,0.907,0.013,0.0405,0.4119,0.0458,0.907,0.4346,0.6111,0.119,0.8032,0.2692
2009-07-08,前線通過（寒冷前線・温暖前線）,front_passage,0.8591,0.0025,0.1848,0.4348,0.0264,0.0312,0.079,0.461,0.8591,0.2312,0.0104
2010-03-04,南岸低気圧,nankigan_low,0.7497,0.1142,0.7497,0.1086,0.0689,0.0087,0.5047,0.0088,0.7318,0.157,0.0086
2010-04-27,二つ玉低気圧,futatsudama_low,0.6956,0.1466,0.5103,0.3262,0.6956,0.0599,0.3676,0.2193,0.6086,0.109,0.3335
2010-05-24,前線通過（寒冷前線・温暖前線）,front_passage,0.9608,0.0604,0.4971,0.6614,0.4596,0.1223,0.058,0.0886,0.9608,0.1203,0.2292
2010-11-02,西高東低（冬型）,winter_pressure_pattern,0.9986,0.9986,0.0215,0.2035,0.0489,0.0082,0.0082,0.0264,0.272,0.0523,0.0009
2010-12-15,西高東低（冬型）,winter_pressure_pattern,0.999,0.999,0.0564,0.0768,0.0332,0.0044,0.0398,0.0092,0.0743,0.0229,0.0015
2010-12-31,二つ玉低気圧,futatsudama_low,0.9143,0.6858,0.4324,0.4611,0.9143,0.0163,0.0147,0.0051,0.6313,0.018,0.0028
2011-01-19,西高東低（冬型）,winter_pressure_pattern,0.9879,0.9879,0.0725,0.1959,0.0938,0.0101,0.0909,0.0188,0.0433,0.0377,0.0057
2011-02-01,西高東低（冬型）,winter_pressure_pattern,0.9913,0.9913,0.0243,0.1645,0.0272,0.0161,0.2148,0.0155,0.0521,0.0161,0.0021
2011-02-23,移動性高気圧,migratory_high,0.7938,0.2495,0.0199,0.1997,0.0185,0.0281,0.7938,0.2318,0.0398,0.0071,0.0441
2011-03-20,移動性高気圧,migratory_high,0.5642,0.1789,0.2684,0.3104,0.0562,0.0125,0.5642,0.1218,0.3579,0.4682,0.0083
2011-03-24,日本海低気圧,japan_sea_low,0.8942,0.0871,0.0223,0.8942,0.1174,0.0194,0.5406,0.0062,0.0683,0.0198,0.0087
2011-04-22,日本海低気圧,japan_sea_low,0.6391,0.025,0.3082,0.6391,0.1234,0.0291,0.4617,0.1493,0.5955,0.0958,0.1972
2011-04-30,太平洋高気圧型,pacific_high,0.9458,0.0038,0.0117,0.1397,0.0077,0.0103,0.6086,0.9458,0.1055,0.1644,0.021
2011-10-15,日本海低気圧,japan_sea_low,0.9421,0.0047,0.2015,0.9421,0.1757,0.008,0.0467,0.2511,0.866,0.5809,0.0192
2011-11-25,西高東低（冬型）,winter_pressure_pattern,0.9978,0.9978,0.0218,0.0223,0.0128,0.0087,0.1663,0.0115,0.1134,0.0353,0.0008
2011-12-24,西高東低（冬型）,winter_pressure_pattern,0.9247,0.9247,0.0585,0.8715,0.2222,0.0072,0.0271,0.0184,0.1873,0.0142,0.0011
2012-03-15,移動性高気圧,migratory_high,0.8018,0.7327,0.0282,0.2384,0.0308,0.0221,0.8018,0.0477,0.1199,0.0312,0.0152
2012-04-22,南岸低気圧,nankigan_low,0.7087,0.1274,0.7087,0.1467,0.4091,0.0133,0.3405,0.2085,0.6056,0.0821,0.1863
2012-04-26,二つ玉低気圧,futatsudama_low,0.9717,0.2206,0.5037,0.3746,0.9717,0.0238,0.0481,0.1553,0.8568,0.0825,0.054
2012-07-12,停滞前線,stationary_front,0.7847,0.0076,0.0884,0.7226,0.2622,0.2114,0.0271,0.5241,0.3135,0.7847,0.2529
2012-09-15,停滞前線,stationary_front,0.852,0.009,0.0126,0.1825,0.1422,0.7675,0.1744,0.5717,0.1764,0.852,0.1232
2012-11-07,二つ玉低気圧,futatsudama_low,0.9257,0.0291,0.2956,0.7445,0.9257,0.0043,0.0448,0.0216,0.3034,0.013,0.2396
2012-11-12,前線通過（寒冷前線・温暖前線）,front_passage,0.8483,0.2717,0.4315,0.4702,0.6683,0.0138,0.0518,0.0124,0.8483,0.0295,0.0199
2012-11-13,西高東低（冬型）,winter_pressure_pattern,0.5401,0.5401,0.1465,0.393,0.252,0.1855,0.1136,0.3171,0.2249,0.0683,0.0038
2012-11-14,西高東低（冬型）,winter_pressure_pattern,0.9138,0.9138,0.175,0.2949,0.2356,0.0234,0.1064,0.0293,0.6802,0.0685,0.0071
2012-12-08,日本海低気圧,japan_sea_low,0.9653,0.1504,0.0794,0.9653,0.6117,0.0034,0.0377,0.0124,0.8373,0.0153,0.0055
2012-12-15,前線通過（寒冷前線・温暖前線）,front_passage,0.8868,0.0035,0.1963,0.8849,0.2336,0.0094,0.2773,0.0123,0.8868,0.1787,0.0049
2013-02-09,西高東低（冬型）,winter_pressure_pattern,0.9961,0.9961,0.0639,0.0443,0.035,0.0112,0.2596,0.0123,0.0454,0.0373,0.0029
2013-04-11,西高東低（冬型）,winter_pressure_pattern,0.6086,0.6086,0.1512,0.1887,0.172,0.0128,0.4476,0.0652,0.3427,0.0919,0.0033
2013-04-26,日本海低気圧,japan_sea_low,0.8874,0.0331,0.2366,0.8874,0.3653,0.0045,0.4447,0.0082,0.1159,0.311,0.103
2013-05-10,停滞前線,stationary_front,0.7999,0.0038,0.2969,0.2416,0.0255,0.0036,0.6645,0.3654,0.0719,0.7999,0.0187
2013-05-15,日本海低気圧,japan_sea_low,0.8728,0.0055,0.0369,0.8728,0.1337,0.0408,0.1637,0.851,0.1533,0.1807,0.4352
2013-05-29,太平洋高気圧型,pacific_high,0.9001,0.1225,0.0362,0.2621,0.1125,0.1265,0.2142,0.9001,0.1964,0.0533,0.0465
2013-07-29,日本海低気圧,japan_sea_low,0.9466,0.0056,0.145,0.9466,0.076,0.0707,0.0765,0.9394,0.4629,0.4096,0.2683
2013-11-20,西高東低（冬型）,winter_pressure_pattern,0.9428,0.9428,0.0434,0.3999,0.1475,0.0611,0.051,0.234,0.2764,0.0338,0.0106
