発生日,気圧配置,ラベル,確信度,しきい値,判定,p_winter_pressure_pattern,p_nankigan_low,p_japan_sea_low,p_futatsudama_low,p_typhoon,p_migratory_high,p_pacific_high,p_front_passage,p_stationary_front,p_okhotsk_high
2004-04-27,前線通過（寒冷前線・温暖前線）,front_passage,0.8404,0.2333,確定,0.0571,0.5512,0.1714,0.0357,0.0127,0.0864,0.0061,0.8404,0.07,0.029
2004-05-30,前線通過（寒冷前線・温暖前線）,front_passage,0.6801,0.2333,確定,0.0136,0.0063,0.0656,0.0016,0.0082,0.2271,0.0481,0.6801,0.6409,0.0219
2004-06-21,台風,typhoon,0.9487,0.5233,確定,0.0151,0.0407,0.2161,0.0567,0.9487,0.103,0.0154,0.0652,0.6848,0.1232
2005-01-08,西高東低（冬型）,winter_pressure_pattern,0.9691,0.4167,確定,0.9691,0.0145,0.0323,0.0074,0.0065,0.1275,0.0079,0.039,0.0257,0.0147
2005-01-17,南岸低気圧,nankigan_low,0.7231,0.31,確定,0.1163,0.7231,0.0033,0.0035,0.0236,0.3951,0.0052,0.0348,0.0351,0.0465
2005-01-20,日本海低気圧,japan_sea_low,0.5368,0.3367,確定,0.4693,0.0224,0.5368,0.4318,0.0063,0.0996,0.0078,0.0454,0.0221,0.0248
2005-03-04,南岸低気圧,nankigan_low,0.8613,0.31,確定,0.0288,0.8613,0.0206,0.1714,0.0088,0.2655,0.0091,0.155,0.0181,0.1426
2005-03-18,西高東低（冬型）,winter_pressure_pattern,0.9062,0.4167,確定,0.9062,0.0744,0.064,0.0315,0.0126,0.1367,0.0131,0.1363,0.0521,0.0283
2005-04-10,前線通過（寒冷前線・温暖前線）,front_passage,0.7669,0.2333,確定,0.0112,0.1409,0.5754,0.0264,0.0093,0.305,0.0402,0.7669,0.0293,0.0353
2005-04-25,移動性高気圧,migratory_high,0.6975,0.3667,確定,0.0063,0.0995,0.0123,0.0032,0.0055,0.6975,0.0399,0.0578,0.6833,0.0676
2005-05-01,前線通過（寒冷前線・温暖前線）,front_passage,0.4633,0.2333,確定,0.0574,0.2143,0.0962,0.009,0.0247,0.2841,0.0189,0.4633,0.0812,0.0596
2005-11-27,日本海低気圧,japan_sea_low,0.9824,0.3367,確定,0.0149,0.0029,0.9824,0.0142,0.0022,0.2849,0.0046,0.4084,0.0038,0.0217
2005-11-29,前線通過（寒冷前線・温暖前線）,front_passage,0.9752,0.2333,確定,0.0245,0.1012,0.333,0.0551,0.0049,0.0627,0.0036,0.9752,0.0106,0.0129
2005-12-02,前線通過（寒冷前線・温暖前線）,front_passage,0.7426,0.2333,確定,0.1711,0.1826,0.3147,0.1386,0.0099,0.2175,0.0148,0.7426,0.0792,0.0294
2005-12-05,西高東低（冬型）,winter_pressure_pattern,0.9293,0.4167,確定,0.9293,0.0349,0.1971,0.0763,0.0049,0.1113,0.0039,0.0285,0.0193,0.0154
2005-12-09,日本海低気圧,japan_sea_low,0.6222,0.3367,確定,0.3042,0.013,0.6222,0.1391,0.0057,0.3299,0.0149,0.037,0.0123,0.0264
2005-12-23,西高東低（冬型）,winter_pressure_pattern,0.9239,0.4167,確定,0.9239,0.0333,0.0222,0.0111,0.0099,0.2532,0.0131,0.0549,0.0323,0.0183
2006-03-18,移動性高気圧,migratory_high,0.5784,0.3667,確定,0.0028,0.5498,0.1026,0.026,0.0086,0.5784,0.0255,0.2146,0.0663,0.1775
2006-04-11,南岸低気圧,nankigan_low,0.7703,0.31,確定,0.0814,0.7703,0.0301,0.0315,0.0054,0.2975,0.0111,0.5697,0.026,0.038
2006-04-29,南岸低気圧,nankigan_low,0.5541,0.31,確定,0.05,0.5541,0.0021,0.0054,0.0054,0.4835,0.1026,0.0349,0.1337,0.0857
2006-05-10,日本海低気圧,japan_sea_low,0.5471,0.3367,確定,0.0144,0.0271,0.5471,0.0054,0.0067,0.4715,0.1719,0.0566,0.5292,0.0451
2006-06-08,南岸低気圧,nankigan_low,0.4707,0.31,確定,0.2174,0.4707,0.0067,0.0078,0.0088,0.4263,0.0301,0.1742,0.0915,0.0313
2006-09-18,台風,typhoon,0.9787,0.5233,確定,0.01,0.0472,0.0874,0.0118,0.9787,0.1533,0.0135,0.029,0.5008,0.2856
2006-10-11,前線通過（寒冷前線・温暖前線）,front_passage,0.8934,0.2333,確定,0.0065,0.0097,0.1775,0.0016,0.0736,0.2437,0.1194,0.8934,0.0208,0.0284
2006-12-02,日本海低気圧,japan_sea_low,0.9645,0.3367,確定,0.0892,0.0044,0.9645,0.0753,0.0078,0.0446,0.0092,0.6907,0.0173,0.0272
2007-01-10,西高東低（冬型）,winter_pressure_pattern,0.9603,0.4167,確定,0.9603,0.0299,0.0211,0.0124,0.0124,0.1871,0.0104,0.0305,0.0439,0.0172
2007-01-13,西高東低（冬型）,winter_pressure_pattern,0.9598,0.4167,確定,0.9598,0.0137,0.0605,0.0041,0.0082,0.1244,0.0131,0.0438,0.0228,0.0152
2007-02-10,移動性高気圧,migratory_high,0.4657,0.3667,確定,0.0309,0.3574,0.1272,0.1136,0.0089,0.4657,0.0091,0.0243,0.3121,0.2277
2007-04-13,日本海低気圧,japan_sea_low,0.912,0.3367,確定,0.0101,0.0145,0.912,0.0069,0.0117,0.3197,0.0506,0.577,0.025,0.049
2007-05-01,前線通過（寒冷前線・温暖前線）,front_passage,0.4758,0.2333,確定,0.0037,0.1951,0.2799,0.1609,0.0085,0.3998,0.0529,0.4758,0.125,0.1084
2007-08-02,台風,typhoon,0.9669,0.5233,確定,0.0157,0.0517,0.1482,0.0309,0.9669,0.1161,0.0558,0.0403,0.7389,0.2819
2007-08-08,停滞前線,stationary_front,0.7952,0.31,確定,0.0075,0.0088,0.0555,0.0004,0.3768,0.3338,0.4827,0.04,0.7952,0.0656
2007-10-19,停滞前線,stationary_front,0.6381,0.31,確定,0.018,0.0589,0.4244,0.0299,0.137,0.16,0.1317,0.3203,0.6381,0.1497
2008-04-26,移動性高気圧,migratory_high,0.8442,0.3667,確定,0.0136,0.0137,0.0379,0.0035,0.0132,0.8442,0.1049,0.0285,0.0203,0.1226
2008-07-27,台風,typhoon,0.9676,0.5233,確定,0.0047,0.018,0.3184,0.0055,0.9676,0.2635,0.2288,0.0399,0.6114,0.2018
2009-07-08,前線通過（寒冷前線・温暖前線）,front_passage,0.4965,0.2333,確定,0.0033,0.3062,0.0265,0.0015,0.0053,0.084,0.0304,0.4965,0.3678,0.0146
2010-03-04,南岸低気圧,nankigan_low,0.436,0.31,確定,0.0519,0.436,0.0173,0.0203,0.0034,0.3492,0.0047,0.3496,0.0444,0.0343
2010-04-27,前線通過（寒冷前線・温暖前線）,front_passage,0.4552,0.2333,確定,0.0468,0.3519,0.0825,0.3099,0.0206,0.2147,0.0801,0.4552,0.0527,0.1581
2010-05-24,前線通過（寒冷前線・温暖前線）,front_passage,0.902,0.2333,確定,0.047,0.1931,0.3087,0.0866,0.0282,0.0883,0.0116,0.902,0.0919,0.045
2010-11-02,西高東低（冬型）,winter_pressure_pattern,0.9808,0.4167,確定,0.9808,0.0153,0.0576,0.0058,0.0072,0.0616,0.0116,0.0556,0.033,0.0114
2010-12-15,西高東低（冬型）,winter_pressure_pattern,0.986,0.4167,確定,0.986,0.013,0.0195,0.0041,0.0047,0.09,0.0075,0.0262,0.0267,0.0116
2010-12-31,西高東低（冬型）,winter_pressure_pattern,0.6645,0.4167,確定,0.6645,0.1574,0.0985,0.1645,0.0073,0.1043,0.0092,0.2871,0.0279,0.0169
2011-01-19,西高東低（冬型）,winter_pressure_pattern,0.9545,0.4167,確定,0.9545,0.0448,0.0342,0.0169,0.0114,0.1186,0.0131,0.0213,0.0396,0.0219
2011-02-01,西高東低（冬型）,winter_pressure_pattern,0.9361,0.4167,確定,0.9361,0.0191,0.0145,0.0031,0.0133,0.1808,0.0263,0.0297,0.0307,0.0204
2011-02-23,移動性高気圧,migratory_high,0.5777,0.3667,確定,0.0439,0.0285,0.0121,0.0015,0.0201,0.5777,0.1665,0.0378,0.0474,0.042
2011-03-20,西高東低（冬型）,winter_pressure_pattern,0.356,0.4167,要確認,0.356,0.063,0.0712,0.0076,0.0081,0.3167,0.0852,0.1107,0.1079,0.0182
2011-03-24,移動性高気圧,migratory_high,0.5158,0.3667,確定,0.0391,0.0076,0.4596,0.0073,0.0395,0.5158,0.0148,0.0559,0.0408,0.0889
2011-04-22,移動性高気圧,migratory_high,0.4138,0.3667,確定,0.0257,0.1277,0.3593,0.0035,0.0138,0.4138,0.0255,0.2569,0.0242,0.0332
2011-04-30,太平洋高気圧型,pacific_high,0.683,0.3,確定,0.0032,0.0115,0.0514,0.0007,0.0107,0.4034,0.683,0.0555,0.1408,0.0524
2011-10-15,停滞前線,stationary_front,0.8927,0.31,確定,0.0038,0.0616,0.6326,0.0082,0.0022,0.084,0.0111,0.4465,0.8927,0.0148
2011-11-25,西高東低（冬型）,winter_pressure_pattern,0.9372,0.4167,確定,0.9372,0.0159,0.0122,0.0045,0.0071,0.2987,0.0059,0.043,0.0122,0.0102
2011-12-24,西高東低（冬型）,winter_pressure_pattern,0.8701,0.4167,確定,0.8701,0.0268,0.5621,0.136,0.0078,0.1132,0.008,0.0346,0.0238,0.0146
2012-03-15,移動性高気圧,migratory_high,0.7045,0.3667,確定,0.1465,0.012,0.2551,0.0051,0.0103,0.7045,0.0134,0.0433,0.017,0.0495
2012-04-22,南岸低気圧,nankigan_low,0.6542,0.31,確定,0.0254,0.6542,0.0306,0.2682,0.0071,0.2234,0.06,0.1641,0.1172,0.1538
2012-04-26,二つ玉低気圧,futatsudama_low,0.7015,0.1933,確定,0.1243,0.1898,0.045,0.7015,0.0216,0.0876,0.049,0.4358,0.1349,0.0504
2012-07-12,停滞前線,stationary_front,0.9412,0.31,確定,0.0041,0.0256,0.4191,0.0059,0.026,0.0792,0.1936,0.056,0.9412,0.0901
2012-09-15,停滞前線,stationary_front,0.9009,0.31,確定,0.0052,0.0073,0.0593,0.0021,0.5901,0.1243,0.2165,0.0847,0.9009,0.157
2012-11-07,二つ玉低気圧,futatsudama_low,0.8479,0.1933,確定,0.0577,0.052,0.2789,0.8479,0.009,0.1415,0.0196,0.0799,0.0075,0.0354
2012-11-12,前線通過（寒冷前線・温暖前線）,front_passage,0.5823,0.2333,確定,0.1431,0.1016,0.1308,0.4401,0.0083,0.1002,0.0079,0.5823,0.0291,0.0353
2012-11-13,移動性高気圧,migratory_high,0.3191,0.3667,要確認,0.3079,0.0076,0.0359,0.0059,0.0538,0.3191,0.1657,0.0157,0.0343,0.03
2012-11-14,西高東低（冬型）,winter_pressure_pattern,0.6305,0.4167,確定,0.6305,0.0772,0.0363,0.0069,0.0102,0.2044,0.0247,0.3375,0.0759,0.0229
2012-12-08,日本海低気圧,japan_sea_low,0.8771,0.3367,確定,0.0708,0.01,0.8771,0.033,0.0047,0.1388,0.0146,0.6697,0.0117,0.0347
2012-12-15,日本海低気圧,japan_sea_low,0.8581,0.3367,確定,0.0049,0.0089,0.8581,0.0123,0.0183,0.2414,0.0233,0.6287,0.0384,0.0527
