発生日,気圧配置,ラベル,確信度,しきい値,判定,p_winter_pressure_pattern,p_nankigan_low,p_japan_sea_low,p_futatsudama_low,p_typhoon,p_migratory_high,p_pacific_high,p_front_passage,p_stationary_front,p_okhotsk_high
2004-04-27,前線通過（寒冷前線・温暖前線）,front_passage,0.7919,0.2333,確定,0.0608,0.4442,0.1507,0.0353,0.0156,0.0881,0.0075,0.7919,0.0582,0.025
2004-05-30,停滞前線,stationary_front,0.6511,0.31,確定,0.0123,0.0038,0.0643,0.0012,0.0066,0.2433,0.058,0.6127,0.6511,0.0113
2004-06-21,台風,typhoon,0.9515,0.5233,確定,0.0096,0.0364,0.195,0.0493,0.9515,0.1046,0.0178,0.0661,0.6953,0.1157
2005-01-08,西高東低（冬型）,winter_pressure_pattern,0.9742,0.4167,確定,0.9742,0.0137,0.0318,0.0058,0.0076,0.1296,0.0091,0.0362,0.0222,0.0072
2005-01-17,南岸低気圧,nankigan_low,0.622,0.31,確定,0.1034,0.622,0.0032,0.0028,0.0311,0.4023,0.0084,0.0415,0.0323,0.0484
2005-01-20,日本海低気圧,japan_sea_low,0.518,0.3367,確定,0.4443,0.0193,0.518,0.3797,0.0065,0.1008,0.009,0.0519,0.0197,0.0211
2005-03-04,南岸低気圧,nankigan_low,0.86,0.31,確定,0.0219,0.86,0.0213,0.1412,0.008,0.2672,0.0057,0.1643,0.016,0.1236
2005-03-18,西高東低（冬型）,winter_pressure_pattern,0.9038,0.4167,確定,0.9038,0.0726,0.0634,0.029,0.0129,0.1467,0.0129,0.1388,0.0462,0.023
2005-04-10,前線通過（寒冷前線・温暖前線）,front_passage,0.7586,0.2333,確定,0.0073,0.1182,0.552,0.0259,0.0107,0.3131,0.0294,0.7586,0.0277,0.0224
2005-04-25,停滞前線,stationary_front,0.6939,0.31,確定,0.006,0.0838,0.012,0.0037,0.0064,0.6934,0.0415,0.0601,0.6939,0.0535
2005-05-01,前線通過（寒冷前線・温暖前線）,front_passage,0.3646,0.2333,確定,0.0469,0.2211,0.0941,0.0101,0.023,0.2868,0.0149,0.3646,0.0786,0.0477
2005-11-27,日本海低気圧,japan_sea_low,0.9829,0.3367,確定,0.0169,0.0033,0.9829,0.0131,0.002,0.2948,0.003,0.3347,0.0041,0.0105
2005-11-29,前線通過（寒冷前線・温暖前線）,front_passage,0.9711,0.2333,確定,0.0223,0.0925,0.2836,0.0508,0.0044,0.0653,0.0039,0.9711,0.0092,0.0091
2005-12-02,前線通過（寒冷前線・温暖前線）,front_passage,0.737,0.2333,確定,0.1649,0.1768,0.2387,0.0883,0.0079,0.2253,0.0163,0.737,0.0807,0.0158
2005-12-05,西高東低（冬型）,winter_pressure_pattern,0.9382,0.4167,確定,0.9382,0.0371,0.1765,0.0654,0.0043,0.1147,0.0033,0.0288,0.0178,0.006
2005-12-09,日本海低気圧,japan_sea_low,0.5574,0.3367,確定,0.2306,0.0109,0.5574,0.1095,0.0053,0.3401,0.01,0.0396,0.0091,0.0156
2005-12-23,西高東低（冬型）,winter_pressure_pattern,0.9313,0.4167,確定,0.9313,0.0285,0.0226,0.0099,0.0109,0.2559,0.013,0.0551,0.0305,0.0094
2006-03-18,移動性高気圧,migratory_high,0.5758,0.3667,確定,0.0022,0.4845,0.0867,0.0241,0.0083,0.5758,0.0179,0.2137,0.0594,0.1206
2006-04-11,南岸低気圧,nankigan_low,0.7873,0.31,確定,0.0635,0.7873,0.0298,0.0282,0.0048,0.2993,0.0072,0.5424,0.0252,0.0307
2006-04-29,南岸低気圧,nankigan_low,0.5046,0.31,確定,0.047,0.5046,0.0022,0.0034,0.0045,0.4826,0.0939,0.0374,0.1243,0.0816
2006-05-10,停滞前線,stationary_front,0.5493,0.31,確定,0.0097,0.0239,0.5448,0.0042,0.007,0.4732,0.0838,0.0543,0.5493,0.0421
2006-06-08,移動性高気圧,migratory_high,0.4266,0.3667,確定,0.1689,0.3953,0.0067,0.008,0.0085,0.4266,0.0203,0.1683,0.0837,0.0361
2006-09-18,台風,typhoon,0.9795,0.5233,確定,0.0053,0.0498,0.082,0.0116,0.9795,0.1598,0.0111,0.0337,0.47,0.1877
2006-10-11,前線通過（寒冷前線・温暖前線）,front_passage,0.8798,0.2333,確定,0.0058,0.0065,0.1777,0.002,0.0739,0.2533,0.0868,0.8798,0.0187,0.0188
2006-12-02,日本海低気圧,japan_sea_low,0.968,0.3367,確定,0.0626,0.0039,0.968,0.0742,0.007,0.0458,0.0072,0.5953,0.0182,0.014
2007-01-10,西高東低（冬型）,winter_pressure_pattern,0.9634,0.4167,確定,0.9634,0.0238,0.0208,0.0125,0.0126,0.1881,0.0084,0.0293,0.0421,0.0089
