発生日,気圧配置,ラベル,確信度,しきい値,判定,p_winter_pressure_pattern,p_nankigan_low,p_japan_sea_low,p_futatsudama_low,p_typhoon,p_migratory_high,p_pacific_high,p_front_passage,p_stationary_front,p_okhotsk_high
2004-04-27,前線通過（寒冷前線・温暖前線）,front_passage,0.9524,0.5,確定,0.2254,0.7547,0.3608,0.1327,0.0353,0.0344,0.0148,0.9524,0.077,0.0414
2004-05-30,前線通過（寒冷前線・温暖前線）,front_passage,0.8658,0.5,確定,0.0415,0.0053,0.1636,0.0036,0.0127,0.1727,0.2124,0.8658,0.7208,0.0124
2004-06-21,台風,typhoon,0.9947,0.5,確定,0.0313,0.0761,0.4442,0.1829,0.9947,0.045,0.0476,0.105,0.7597,0.3453
2005-01-08,西高東低（冬型）,winter_pressure_pattern,0.9978,0.5,確定,0.9978,0.0246,0.079,0.02,0.015,0.063,0.0192,0.0492,0.0296,0.0062
2005-01-17,南岸低気圧,nankigan_low,0.8787,0.5,確定,0.3621,0.8787,0.0064,0.0092,0.079,0.3822,0.0172,0.0586,0.0429,0.11
2005-01-20,西高東低（冬型）,winter_pressure_pattern,0.8424,0.5,確定,0.8424,0.0366,0.8083,0.7684,0.0127,0.0425,0.019,0.0778,0.0262,0.0321
2005-03-04,南岸低気圧,nankigan_low,0.9719,0.5,確定,0.0783,0.9719,0.0513,0.4412,0.0161,0.2008,0.0102,0.3048,0.0213,0.3717
2005-03-18,西高東低（冬型）,winter_pressure_pattern,0.9893,0.5,確定,0.9893,0.1636,0.1613,0.1094,0.0284,0.0767,0.0307,0.2533,0.0612,0.0366
2005-04-10,前線通過（寒冷前線・温暖前線）,front_passage,0.9399,0.5,確定,0.0229,0.27,0.8309,0.0977,0.0227,0.2585,0.092,0.9399,0.0368,0.035
2005-04-25,移動性高気圧,migratory_high,0.7862,0.5,確定,0.0182,0.1904,0.0275,0.0124,0.0124,0.7862,0.1426,0.0934,0.7584,0.1272
2005-05-01,前線通過（寒冷前線・温暖前線）,front_passage,0.6357,0.5,確定,0.1746,0.4739,0.237,0.0365,0.0557,0.2248,0.0375,0.6357,0.1035,0.108
2005-11-27,日本海低気圧,japan_sea_low,0.9972,0.5,確定,0.0591,0.0046,0.9972,0.0482,0.0031,0.2349,0.0042,0.5955,0.0055,0.011
2005-11-29,前線通過（寒冷前線・温暖前線）,front_passage,0.997,0.5,確定,0.08,0.211,0.5804,0.1882,0.0078,0.0216,0.006,0.997,0.0122,0.0089
2005-12-02,前線通過（寒冷前線・温暖前線）,front_passage,0.9309,0.5,確定,0.5142,0.3929,0.516,0.3072,0.0158,0.1526,0.0422,0.9309,0.1061,0.0207
2005-12-05,西高東低（冬型）,winter_pressure_pattern,0.9938,0.5,確定,0.9938,0.0777,0.4107,0.2371,0.0078,0.052,0.0049,0.0368,0.0237,0.0047
2005-12-09,日本海低気圧,japan_sea_low,0.8343,0.5,確定,0.6317,0.0187,0.8343,0.3653,0.0097,0.2946,0.0219,0.0552,0.0121,0.0203
2005-12-23,西高東低（冬型）,winter_pressure_pattern,0.993,0.5,確定,0.993,0.0576,0.0547,0.0359,0.0233,0.1873,0.0311,0.0838,0.0405,0.0094
2006-03-18,南岸低気圧,nankigan_low,0.7885,0.5,確定,0.0058,0.7885,0.2191,0.0908,0.0168,0.6345,0.048,0.3996,0.0786,0.3618
2006-04-11,南岸低気圧,nankigan_low,0.9499,0.5,確定,0.2347,0.9499,0.0738,0.1062,0.0088,0.2406,0.0138,0.8164,0.0336,0.0565
2006-04-29,南岸低気圧,nankigan_low,0.804,0.5,確定,0.1751,0.804,0.0041,0.0113,0.0082,0.4998,0.3561,0.0514,0.1616,0.2258
2006-05-10,日本海低気圧,japan_sea_low,0.8263,0.5,確定,0.0318,0.0469,0.8263,0.0145,0.0137,0.4861,0.3173,0.0823,0.6269,0.09
2006-06-08,南岸低気圧,nankigan_low,0.7079,0.5,確定,0.5224,0.7079,0.0145,0.0285,0.0174,0.4175,0.0567,0.3126,0.11,0.0717
2006-09-18,台風,typhoon,0.9982,0.5,確定,0.0158,0.1084,0.2077,0.0422,0.9982,0.088,0.0253,0.0451,0.5496,0.5581
2006-10-11,前線通過（寒冷前線・温暖前線）,front_passage,0.9789,0.5,確定,0.0177,0.0103,0.413,0.0065,0.2036,0.1842,0.3291,0.9789,0.0249,0.0269
2006-12-02,日本海低気圧,japan_sea_low,0.9943,0.5,確定,0.2318,0.0056,0.9943,0.265,0.0137,0.0126,0.014,0.8545,0.0242,0.0171
2007-01-10,西高東低（冬型）,winter_pressure_pattern,0.9967,0.5,確定,0.9967,0.0467,0.0501,0.046,0.0276,0.1142,0.0171,0.0377,0.0558,0.0085
2007-01-13,西高東低（冬型）,winter_pressure_pattern,0.9971,0.5,確定,0.9971,0.0183,0.1503,0.0102,0.0169,0.0602,0.028,0.0564,0.026,0.0056
2007-02-10,南岸低気圧,nankigan_low,0.5929,0.5,確定,0.1041,0.5929,0.2956,0.3306,0.0133,0.4787,0.0217,0.0393,0.4038,0.4323
2007-04-13,日本海低気圧,japan_sea_low,0.9817,0.5,確定,0.0307,0.0185,0.9817,0.0302,0.0362,0.2767,0.1421,0.8254,0.0284,0.1121
2007-05-01,前線通過（寒冷前線・温暖前線）,front_passage,0.6693,0.5,確定,0.0058,0.4439,0.5124,0.4173,0.0144,0.3847,0.1171,0.6693,0.1611,0.3053
