label,x0,y0,x1,y1,note
winter_pressure_pattern,0.00,0.10,0.75,0.70,シベリア高気圧から日本の東の低気圧まで。西高東低は大陸から太平洋までの広がりそのものが定義なので矩形も広い
nankigan_low,0.36,0.48,0.58,0.68,本州南岸。日本の南を東進する低気圧
japan_sea_low,0.34,0.26,0.53,0.50,日本海。日本海を進む低気圧
futatsudama_low,0.33,0.26,0.60,0.68,日本海側と太平洋側の両方。japan_sea_low と nankigan_low を合わせた範囲
typhoon,0.28,0.28,0.68,0.80,北緯20〜46度・東経123〜154度に相当。ラベル付与の基準(scripts/typhoon_from_besttrack.py)と同じ範囲
migratory_high,0.25,0.24,0.63,0.60,大陸東岸から日本付近。西から移動してくる高気圧
pacific_high,0.50,0.40,0.94,0.80,日本の南東海上。太平洋高気圧の本体と、そこから日本に張り出す部分
front_passage,0.31,0.24,0.63,0.64,日本付近。前線が本州を通過する範囲
stationary_front,0.25,0.40,0.75,0.70,日本の南から東西にのびる帯。梅雨前線・秋雨前線
okhotsk_high,0.50,0.00,0.75,0.30,オホーツク海。高気圧の本体がある海域
